country,crop,year,rainfall,pesticides,temperature,Actual (A),Predicted (P),Absolute Error (AE),Residual (R) (A - P) ,R^2,,,,,,,,
Indonesia,Potatoes,2008,2702,1597,26.97,166719,166719,0,0,0,,,,,,,,
Guatemala,Maize,2009,1996,13276.7,19.99,19798,23105,3307,-3307,10936249,,,,,,,,
France,Potatoes,1999,867,114695,11.83,397361,335302,62059,62059,3851319481,,,,,,,,
India,Sweet potatoes,2004,1083,35113,26.64,88588,88588,0,0,0,,,,,,,,
Pakistan,Wheat,1990,494,5299,23.14,18249,18249,0,0,0,,,,,,,,
Mozambique,Sweet potatoes,2013,1032,766.93,21.37,209796,111841,97955,97955,9595182025,,,,,,,,
Pakistan,Sorghum,2009,494,3957.61,27.88,6204,6204,0,0,0,,,,,,,,
Spain,"Rice, paddy",1999,636,33614,17.14,75388,75388,0,0,0,,,,,,,,
Australia,Sorghum,1991,534,17866,12.22,19865,19865,0,0,0,,,,,,,,
Pakistan,Sorghum,2006,494,6925.13,23.28,6156,6156,0,0,0,,,,,,,,
Guatemala,Soybeans,2001,1996,10023.42,19.62,29091,30780,1689,-1689,2852721,,,,,,,,
Colombia,Yams,1995,3240,20156.23,22.27,116198,109892,6306,6306,39765636,,,,,,,,
India,Sweet potatoes,1994,1083,61357,26.55,84823,84823,0,0,0,,,,,,,,
Australia,Maize,1996,534,31185,16.12,57689,57689,0,0,0,,,,,,,,
South Africa,Sweet potatoes,2008,495,26857,18.91,31960,32644,684,-684,467856,,,,,,,,
Jamaica,Sweet potatoes,1998,2051,909.71,27.8,159788,152379,7409,7409,54893281,,,,,,,,
Indonesia,Potatoes,2012,2702,1597,27.48,165820,165820,0,0,0,,,,,,,,
Uganda,Maize,1994,1180,59,23.6,15098,15984,886,-886,784996,,,,,,,,
South Africa,Sweet potatoes,2012,495,26857,15.89,30138,30138,0,0,0,,,,,,,,
Netherlands,Maize,1993,778,10505,9.47,90962,80227,10735,10735,115240225,,,,,,,,
India,Sweet potatoes,1997,1083,52279,24.71,84850,84850,0,0,0,,,,,,,,
Pakistan,Potatoes,1992,494,5518,18.34,113709,139418,25709,-25709,660952681,,,,,,,,
Dominican Republic,Yams,2000,1410,5082,26.35,64917,64917,0,0,0,,,,,,,,
Kenya,Yams,1998,630,4114,16.53,48926,69832,20906,-20906,437060836,,,,,,,,
Germany,Soybeans,1993,700,25170,5.33,20000,20000,0,0,0,,,,,,,,
Egypt,Wheat,1997,51,4607,20.52,55994,55994,0,0,0,,,,,,,,
Mexico,Sorghum,1990,758,34468.93,21.46,32888,32888,0,0,0,,,,,,,,
Ecuador,Sweet potatoes,1991,2274,2377,22.18,26571,26571,0,0,0,,,,,,,,
Tajikistan,Sorghum,1993,691,2280,7.29,13716,11720,1996,1996,3984016,,,,,,,,
Sri Lanka,Potatoes,2006,1712,1751.75,26.56,148094,141622,6472,6472,41886784,,,,,,,,
Lesotho,Maize,2013,788,62.32,14.03,8227,6344,1883,1883,3545689,,,,,,,,
India,Potatoes,2007,1083,27422.77,27.31,164101,164101,0,0,0,,,,,,,,
Australia,Wheat,2012,534,48687.88,19.55,21511,21511,0,0,0,,,,,,,,
India,Wheat,1995,1083,61257,26.04,25590,25590,0,0,0,,,,,,,,
Indonesia,Sweet potatoes,1999,2702,1597,27.01,96698,94532,2166,2166,4691556,,,,,,,,
France,Sorghum,1998,867,107753,11.25,55734,57487,1753,-1753,3073009,,,,,,,,
India,Potatoes,2010,1083,40093.69,24.98,199299,199299,0,0,0,,,,,,,,
Turkey,Soybeans,2013,593,39440,16.02,41609,41609,0,0,0,,,,,,,,
Canada,Maize,2006,537,36572.75,8.31,84737,84737,0,0,0,,,,,,,,
Central African Republic,Cassava,1992,1342,0.04,24.81,34473,33604,869,869,755161,,,,,,,,
Brazil,Soybeans,2004,1761,214725,17.88,23005,23005,0,0,0,,,,,,,,
Australia,Potatoes,2004,534,36276,17.87,362787,362787,0,0,0,,,,,,,,
France,Wheat,2005,867,78265,11.55,69887,75788,5901,-5901,34821801,,,,,,,,
India,Sweet potatoes,2005,1083,35342,25.72,88477,88477,0,0,0,,,,,,,,
Suriname,"Rice, paddy",2005,2331,1426.37,27.7,35984,41296,5312,-5312,28217344,,,,,,,,
Pakistan,Potatoes,1996,494,11955,24.43,134795,134795,0,0,0,,,,,,,,
Peru,Cassava,2008,1738,12598.66,17.34,113363,116481,3118,-3118,9721924,,,,,,,,
Bahamas,Sweet potatoes,1996,1292,484.59,25.06,31324,81138,49814,-49814,2481434596,,,,,,,,
Canada,Soybeans,2002,537,34226,7.82,22814,22814,0,0,0,,,,,,,,
Canada,Maize,2005,537,36363,9.05,86035,86035,0,0,0,,,,,,,,
Australia,Soybeans,1994,534,21057,19.59,19999,19999,0,0,0,,,,,,,,
United Kingdom,Potatoes,1997,1220,35490,8.87,429656,407441,22215,22215,493506225,,,,,,,,
India,Soybeans,2002,1083,42482.56,26.15,7624,7624,0,0,0,,,,,,,,
Pakistan,Wheat,1999,494,20450,27.54,21698,21698,0,0,0,,,,,,,,
Cameroon,Sweet potatoes,2002,1604,815.79,25.26,45554,65895,20341,-20341,413756281,,,,,,,,
India,Wheat,1992,1083,70791,25.73,23940,23940,0,0,0,,,,,,,,
Germany,Potatoes,2011,700,43754.35,10.56,457565,457565,0,0,0,,,,,,,,
Chile,Sweet potatoes,1996,1522,15373,13.16,63928,62796,1132,1132,1281424,,,,,,,,
New Zealand,Potatoes,2005,1732,4058,13.63,460829,445871,14958,14958,223741764,,,,,,,,
Brazil,Sorghum,1997,1761,110276.11,25.2,19757,19757,0,0,0,,,,,,,,
Brazil,"Rice, paddy",1998,1761,118930.56,27.54,25198,25198,0,0,0,,,,,,,,
India,Maize,2005,1083,35342,24.12,19385,19385,0,0,0,,,,,,,,
Pakistan,Sorghum,2004,494,8903.48,19.93,6062,6156,94,-94,8836,,,,,,,,
Spain,Sweet potatoes,1997,636,34023,17.66,166805,166805,0,0,0,,,,,,,,
Mauritania,Maize,1997,92,39.09,28.28,8627,8387,240,240,57600,,,,,,,,
Ecuador,Sorghum,1990,2274,2537,17.6,28273,15289,12984,12984,168584256,,,,,,,,
Brazil,"Rice, paddy",2013,1761,367778,25.19,50071,50071,0,0,0,,,,,,,,
Canada,Maize,1993,537,29296.5,7.69,64241,64241,0,0,0,,,,,,,,
Bahrain,Sweet potatoes,1993,83,14.05,26.09,116667,112500,4167,4167,17363889,,,,,,,,
Thailand,Wheat,1991,1622,18849,27.85,4861,6167,1306,-1306,1705636,,,,,,,,
India,Sweet potatoes,2008,1083,14485.33,25.23,88943,88943,0,0,0,,,,,,,,
Brazil,Soybeans,2009,1761,335742,27.39,26365,26365,0,0,0,,,,,,,,
Australia,"Rice, paddy",2007,534,32446.25,12.83,82609,82609,0,0,0,,,,,,,,
Australia,Wheat,1990,534,17866,20.06,16344,16344,0,0,0,,,,,,,,
India,Cassava,2009,1083,28707.01,26.76,343433,343433,0,0,0,,,,,,,,
Indonesia,Sweet potatoes,1999,2702,1597,26.82,96698,94532,2166,2166,4691556,,,,,,,,
Switzerland,Wheat,2004,1537,1390.7,7.67,61177,57490,3687,3687,13593969,,,,,,,,
Armenia,Wheat,2009,562,198.36,9.67,22374,14627,7747,7747,60016009,,,,,,,,
India,"Rice, paddy",2011,1083,55540,25.53,35878,35878,0,0,0,,,,,,,,
Mali,Wheat,2006,282,11.87,27.62,24025,24409,384,-384,147456,,,,,,,,
Colombia,Sorghum,2012,3240,48727.73,22.58,38191,57069,18878,-18878,356378884,,,,,,,,
Australia,Potatoes,1991,534,17866,16.78,285359,285359,0,0,0,,,,,,,,
Sri Lanka,Sorghum,2013,1712,1235.31,27.03,14227,14257,30,-30,900,,,,,,,,
Mexico,Maize,1992,758,34468.93,19.14,23450,23450,0,0,0,,,,,,,,
Papua New Guinea,Maize,2008,3142,105,25.17,45455,50719,5264,-5264,27709696,,,,,,,,
Austria,Potatoes,2001,1110,3132.2,8.75,300394,283064,17330,17330,300328900,,,,,,,,
Pakistan,Potatoes,1994,494,6183,22.93,133171,133171,0,0,0,,,,,,,,
Cameroon,Yams,2011,1604,1372.47,25.25,101354,112643,11289,-11289,127441521,,,,,,,,
Mexico,Cassava,1994,758,34468.93,21.46,75260,75260,0,0,0,,,,,,,,
Uganda,Wheat,1999,1180,88,23.52,18333,18000,333,333,110889,,,,,,,,
Burkina Faso,"Rice, paddy",2004,748,1.28,28.9,15047,19010,3963,-3963,15705369,,,,,,,,
Sri Lanka,Maize,2000,1712,1695.71,26.43,10838,10897,59,-59,3481,,,,,,,,
India,Wheat,2006,1083,37423,26.43,26188,26188,0,0,0,,,,,,,,
Tajikistan,Soybeans,2001,691,452.56,9.16,540,260,280,280,78400,,,,,,,,
Kenya,"Rice, paddy",2007,630,1578,16.6,28715,28062,653,653,426409,,,,,,,,
Latvia,Wheat,1999,641,326.86,7.07,24103,33844,9741,-9741,94887081,,,,,,,,
India,"Rice, paddy",1999,1083,46195,24.9,29782,29782,0,0,0,,,,,,,,
Germany,Soybeans,2010,700,40832.42,4.85,20000,20000,0,0,0,,,,,,,,
India,Sweet potatoes,1990,1083,75000,25.12,79663,79663,0,0,0,,,,,,,,
India,"Rice, paddy",1996,1083,56114,25.31,28226,28226,0,0,0,,,,,,,,
Ukraine,"Rice, paddy",2008,565,54080.5,9.24,50859,51185,326,-326,106276,,,,,,,,
India,"Rice, paddy",1998,1083,49157,25.77,28805,28805,0,0,0,,,,,,,,
Brazil,"Rice, paddy",2011,1761,345026,20.33,48956,48956,0,0,0,,,,,,,,
Tajikistan,Soybeans,1992,691,2280,7.9,50,26335,26285,-26285,690901225,,,,,,,,
India,Sweet potatoes,1994,1083,61357,24.71,84823,84823,0,0,0,,,,,,,,
Sri Lanka,Sorghum,2011,1712,1290.31,26.65,12857,15074,2217,-2217,4915089,,,,,,,,
Kazakhstan,Soybeans,2006,250,3926.27,3.88,16578,16438,140,140,19600,,,,,,,,
Honduras,"Rice, paddy",1999,1976,2387,24.41,21850,25468,3618,-3618,13089924,,,,,,,,
Malawi,Wheat,1999,1181,123.64,20.26,7877,7537,340,340,115600,,,,,,,,
Azerbaijan,Wheat,2013,447,489.8,14.12,26719,19381,7338,7338,53846244,,,,,,,,
Papua New Guinea,Yams,2008,3142,105,25.17,165263,167568,2305,-2305,5313025,,,,,,,,
Papua New Guinea,Sorghum,1990,3142,121,25.27,41152,26000,15152,15152,229583104,,,,,,,,
Pakistan,Maize,2001,494,11871,23.62,17631,17631,0,0,0,,,,,,,,
Croatia,Sorghum,2004,1113,2174,10.06,37125,26667,10458,10458,109369764,,,,,,,,
Iraq,"Rice, paddy",2013,216,2162.6,25.14,47162,47162,0,0,0,,,,,,,,
India,Cassava,2005,1083,35342,26.73,304978,304978,0,0,0,,,,,,,,
India,Sorghum,2010,1083,40093.69,26.61,8602,8602,0,0,0,,,,,,,,
Niger,Sweet potatoes,2010,151,11.49,30.32,161324,160230,1094,1094,1196836,,,,,,,,
United Kingdom,Wheat,1998,1220,35422,10,75542,75542,0,0,0,,,,,,,,
Chile,Maize,1993,1522,15373,13.26,84890,89381,4491,-4491,20169081,,,,,,,,
India,Cassava,2011,1083,55540,27.41,364770,364770,0,0,0,,,,,,,,
Mauritius,Potatoes,2006,2041,623.96,24.32,238105,251918,13813,-13813,190798969,,,,,,,,
Cameroon,Wheat,2011,1604,1372.47,25.25,13971,13846,125,125,15625,,,,,,,,
Albania,Maize,1997,1485,376.93,15.9,31862,24876,6986,6986,48804196,,,,,,,,
Kenya,Wheat,1991,630,3469,16.26,18484,19359,875,-875,765625,,,,,,,,
India,"Rice, paddy",1997,1083,52279,24.71,28457,28457,0,0,0,,,,,,,,
Brazil,Potatoes,2011,1761,345026,25.28,262528,262528,0,0,0,,,,,,,,
Central African Republic,Maize,2007,1342,22.87,25.88,8500,9010,510,-510,260100,,,,,,,,
India,Potatoes,2010,1083,40093.69,26.82,199299,199299,0,0,0,,,,,,,,
Iraq,Soybeans,1992,216,692,17.76,14800,14800,0,0,0,,,,,,,,
Egypt,Potatoes,1990,51,13214,21.6,205592,158256,47336,47336,2240696896,,,,,,,,
Kazakhstan,Wheat,1998,250,6416.14,3.25,5200,5200,0,0,0,,,,,,,,
Senegal,Maize,1999,686,470.87,24.93,9388,8255,1133,1133,1283689,,,,,,,,
Kazakhstan,Potatoes,2011,250,10656.6,6.54,167176,181522,14346,-14346,205807716,,,,,,,,
Brazil,Wheat,2001,1761,151523,24.99,19488,19488,0,0,0,,,,,,,,
Mali,"Rice, paddy",1997,282,24.28,27.38,17554,19140,1586,-1586,2515396,,,,,,,,
Chile,Wheat,1997,1522,15373,6.8,40174,33278,6896,6896,47554816,,,,,,,,
Italy,Soybeans,1999,832,81583,12.95,35329,35761,432,-432,186624,,,,,,,,
Spain,Sweet potatoes,2006,636,39767,17.81,168349,168349,0,0,0,,,,,,,,
Japan,"Rice, paddy",2008,1668,58750,15.96,67786,67786,0,0,0,,,,,,,,
Mexico,Cassava,2007,758,64501.28,22.18,122745,122745,0,0,0,,,,,,,,
India,Sweet potatoes,1994,1083,61357,25.33,84823,84823,0,0,0,,,,,,,,
Zambia,Sweet potatoes,1998,1020,1670,21.32,15152,17000,1848,-1848,3415104,,,,,,,,
Cameroon,Potatoes,1990,1604,450.01,25.08,16142,19811,3669,-3669,13461561,,,,,,,,
South Africa,Sorghum,2011,495,26857,20.72,22399,22399,0,0,0,,,,,,,,
Pakistan,Wheat,2002,494,10881.83,27.88,22621,22621,0,0,0,,,,,,,,
Tajikistan,Sorghum,2013,691,264.6,10.1,34000,29444,4556,4556,20757136,,,,,,,,
Mexico,Sorghum,1997,758,34468.93,25.21,30423,30762,339,-339,114921,,,,,,,,
Mauritius,Maize,1991,2041,788.43,24.14,37193,41790,4597,-4597,21132409,,,,,,,,
Pakistan,Soybeans,2013,494,0.92,27.38,7222,7222,0,0,0,,,,,,,,
Peru,Sweet potatoes,2005,1738,10227.74,17.02,163495,157317,6178,6178,38167684,,,,,,,,
Colombia,Soybeans,2007,3240,82439.06,22.48,20000,28133,8133,-8133,66145689,,,,,,,,
Spain,"Rice, paddy",1997,636,34023,17.81,68295,68295,0,0,0,,,,,,,,
Ecuador,Sweet potatoes,1996,2274,2407,21.34,36429,48971,12542,-12542,157301764,,,,,,,,
Rwanda,Yams,1991,1212,107,19.22,30769,53333,22564,-22564,509134096,,,,,,,,
Italy,Sorghum,2013,832,55633,8.04,62061,41979,20082,20082,403286724,,,,,,,,
India,Maize,1997,1083,52279,25.46,17111,17111,0,0,0,,,,,,,,
South Africa,"Rice, paddy",2001,495,26857,15.68,22857,23517,660,-660,435600,,,,,,,,
Uganda,Plantains and others,2011,1180,88,23.89,48000,45999,2001,2001,4004001,,,,,,,,
Cameroon,Plantains and others,2002,1604,815.79,25.26,53209,53312,103,-103,10609,,,,,,,,
Brazil,Maize,2005,1761,232232,25.7,30403,30403,0,0,0,,,,,,,,
Pakistan,Soybeans,2000,494,27885,27.73,12160,12160,0,0,0,,,,,,,,
Uganda,Cassava,2012,1180,88,24.03,32973,48728,15755,-15755,248220025,,,,,,,,
Lesotho,Maize,1998,788,0.3,14.81,13171,9857,3314,3314,10982596,,,,,,,,
Kenya,Sorghum,1993,630,3469,16.36,7454,11720,4266,-4266,18198756,,,,,,,,
Japan,"Rice, paddy",2009,1668,60970.8,15.93,65222,65222,0,0,0,,,,,,,,
Turkey,"Rice, paddy",2009,593,37651.15,11.63,77765,77765,0,0,0,,,,,,,,
Argentina,Potatoes,1990,591,26156,17.46,202747,202747,0,0,0,,,,,,,,
Canada,Maize,2012,537,73508.9,9.24,92109,92109,0,0,0,,,,,,,,
Central African Republic,Maize,1990,1342,0.04,25.42,7324,8149,825,-825,680625,,,,,,,,
Armenia,Maize,2009,562,198.36,9.67,57763,47071,10692,10692,114318864,,,,,,,,
Australia,Wheat,2002,534,26651,17.73,21076,21076,0,0,0,,,,,,,,
Morocco,Maize,2012,346,13697,18.24,7648,7648,0,0,0,,,,,,,,
Austria,Soybeans,1993,1110,3984,8.48,23168,19046,4122,4122,16990884,,,,,,,,
Australia,Potatoes,1996,534,31185,13.05,312853,312853,0,0,0,,,,,,,,
Ukraine,Soybeans,2010,565,62534.6,8.97,16207,15111,1096,1096,1201216,,,,,,,,
Sri Lanka,Potatoes,1991,1712,1409.15,26.53,104522,110520,5998,-5998,35976004,,,,,,,,
Australia,Maize,2007,534,32446.25,18.02,49103,49103,0,0,0,,,,,,,,
Mauritius,Sweet potatoes,1994,2041,486.72,24.17,135000,90667,44333,44333,1965414889,,,,,,,,
Japan,Yams,2013,1668,52794.3,13.91,217415,220905,3490,-3490,12180100,,,,,,,,
Brazil,"Rice, paddy",1995,1761,92967.22,27.52,25668,25668,0,0,0,,,,,,,,
Mali,"Rice, paddy",1990,282,95.7,27.61,14360,28889,14529,-14529,211091841,,,,,,,,
Ecuador,Maize,2010,2274,31637.12,21.98,22348,22348,0,0,0,,,,,,,,
Japan,"Rice, paddy",2001,1668,78735.45,15.97,66354,66354,0,0,0,,,,,,,,
Cameroon,Yams,2008,1604,882.13,25.42,121000,100747,20253,20253,410184009,,,,,,,,
Suriname,"Rice, paddy",1993,2331,188,26.83,36987,36325,662,662,438244,,,,,,,,
India,Wheat,2006,1083,37423,25.85,26188,26188,0,0,0,,,,,,,,
South Africa,"Rice, paddy",2001,495,26857,15.68,22857,23517,660,-660,435600,,,,,,,,
Brazil,Sweet potatoes,2010,1761,342580,19.01,118459,113035,5424,5424,29419776,,,,,,,,
India,Maize,1999,1083,46195,26.42,17922,17922,0,0,0,,,,,,,,
Spain,Soybeans,1998,636,35070,12.4,20731,20731,0,0,0,,,,,,,,
Japan,Potatoes,1990,1668,79821.18,16.4,306736,306736,0,0,0,,,,,,,,
Spain,Soybeans,1994,636,31244,17.67,18048,18048,0,0,0,,,,,,,,
Pakistan,"Rice, paddy",2013,494,0.92,27.21,37528,37528,0,0,0,,,,,,,,
Colombia,Cassava,2006,3240,98328.63,27.51,103639,106912,3273,-3273,10712529,,,,,,,,
El Salvador,Cassava,2007,1784,1940.78,26.02,128870,100819,28051,28051,786858601,,,,,,,,
Spain,Wheat,2011,636,53549,13.28,34475,36447,1972,-1972,3888784,,,,,,,,
Brazil,Wheat,2008,1761,312637,20.22,25497,25497,0,0,0,,,,,,,,
Greece,Wheat,1993,652,8826,17.53,22952,24172,1220,-1220,1488400,,,,,,,,
New Zealand,Sweet potatoes,2012,1732,5086,12.89,116046,117785,1739,-1739,3024121,,,,,,,,
Azerbaijan,Maize,1996,447,148.68,11.96,17369,14619,2750,2750,7562500,,,,,,,,
Hungary,Wheat,1991,589,8069,9.66,51900,30635,21265,21265,452200225,,,,,,,,
Australia,Potatoes,2004,534,36276,12.35,362787,362787,0,0,0,,,,,,,,
Jamaica,Maize,1995,2051,1445.12,27.4,13375,13594,219,-219,47961,,,,,,,,
Brazil,Cassava,1997,1761,110276.11,27.85,128200,128200,0,0,0,,,,,,,,
Slovenia,Maize,2007,1162,1155.23,11.31,75358,63200,12158,12158,147816964,,,,,,,,
India,Sweet potatoes,2007,1083,27422.77,26.27,86976,86976,0,0,0,,,,,,,,
Brazil,Cassava,2007,1761,304031,20.93,140099,140099,0,0,0,,,,,,,,
Saudi Arabia,Sorghum,1994,59,994,26.26,11477,11513,36,-36,1296,,,,,,,,
India,Maize,2011,1083,55540,24.35,24784,24784,0,0,0,,,,,,,,
Argentina,Soybeans,1993,591,26156,17.32,21589,21589,0,0,0,,,,,,,,
India,Sweet potatoes,1996,1083,56114,26.64,80716,80716,0,0,0,,,,,,,,
Indonesia,Potatoes,1996,2702,1597,26.83,158631,158631,0,0,0,,,,,,,,
Bangladesh,Potatoes,1998,2666,2068,26.13,113972,113972,0,0,0,,,,,,,,
India,Sweet potatoes,2002,1083,42482.56,27.35,85694,85694,0,0,0,,,,,,,,
Australia,Sorghum,2012,534,48687.88,17.47,33960,33960,0,0,0,,,,,,,,
Algeria,Potatoes,2011,89,13861.76,17.79,292806,304291,11485,-11485,131905225,,,,,,,,
Jamaica,Cassava,1991,2051,1415.65,27.24,120268,151186,30918,-30918,955922724,,,,,,,,
Ghana,Plantains and others,2008,1187,350.83,26.98,107039,109659,2620,-2620,6864400,,,,,,,,
Turkey,Wheat,2000,593,33471,12.03,22928,22928,0,0,0,,,,,,,,
Niger,Maize,2004,151,26.31,29.8,7509,8255,746,-746,556516,,,,,,,,
Pakistan,"Rice, paddy",1996,494,11955,24.43,28685,28685,0,0,0,,,,,,,,
Argentina,Cassava,1995,591,37842,17.62,100000,100000,0,0,0,,,,,,,,
Romania,Sorghum,1997,637,15349,10.46,19258,15750,3508,3508,12306064,,,,,,,,
Brazil,Soybeans,2002,1761,145552,19.09,25739,25739,0,0,0,,,,,,,,
Mexico,Cassava,1997,758,34468.93,17.46,96021,96021,0,0,0,,,,,,,,
Australia,Sweet potatoes,2007,534,32446.25,12.83,346237,346237,0,0,0,,,,,,,,
Iraq,Sorghum,1996,216,616,20.13,10000,8333,1667,1667,2778889,,,,,,,,
Iraq,Soybeans,1994,216,692,20.02,13846,14815,969,-969,938961,,,,,,,,
Pakistan,Sorghum,2013,494,0.92,19.98,5987,7222,1235,-1235,1525225,,,,,,,,
Brazil,Potatoes,2011,1761,345026,27.36,262528,262528,0,0,0,,,,,,,,
Australia,"Rice, paddy",2007,534,32446.25,18.84,82609,82609,0,0,0,,,,,,,,
Brazil,"Rice, paddy",1992,1761,67003.89,24.24,21349,21349,0,0,0,,,,,,,,
Uganda,Soybeans,1990,1180,72,23.36,9927,10926,999,-999,998001,,,,,,,,
Bulgaria,Wheat,2009,608,1717.25,9.74,31873,36185,4312,-4312,18593344,,,,,,,,
India,"Rice, paddy",2007,1083,27422.77,25.95,32924,32924,0,0,0,,,,,,,,
Brazil,Yams,2008,1761,312637,17.88,93753,93753,0,0,0,,,,,,,,
Mauritius,Sweet potatoes,2005,2041,698.23,24.16,97313,108333,11020,-11020,121440400,,,,,,,,
Guinea,Maize,1997,1651,157,27.3,12870,12446,424,424,179776,,,,,,,,
India,Cassava,1995,1083,61257,24.04,252775,252775,0,0,0,,,,,,,,
India,"Rice, paddy",1996,1083,56114,25.34,28226,28226,0,0,0,,,,,,,,
Colombia,Maize,2007,3240,82439.06,22.48,27661,27661,0,0,0,,,,,,,,
El Salvador,Maize,1994,1784,3630.31,26.33,15245,19062,3817,-3817,14569489,,,,,,,,
Belgium,Wheat,2001,847,8529.07,10.94,80475,89806,9331,-9331,87067561,,,,,,,,
Japan,Soybeans,2007,1668,61164.07,16.55,16392,16392,0,0,0,,,,,,,,
Mozambique,Sweet potatoes,2011,1032,766.93,21.69,118660,111841,6819,6819,46498761,,,,,,,,
Mexico,"Rice, paddy",2011,758,65961.1,21.55,50962,50962,0,0,0,,,,,,,,
India,Wheat,2013,1083,45620,26.61,31538,31538,0,0,0,,,,,,,,
India,Cassava,2009,1083,28707.01,26.55,343433,343433,0,0,0,,,,,,,,
Egypt,Potatoes,1995,51,4391,20.62,211244,211244,0,0,0,,,,,,,,
Thailand,Sorghum,1990,1622,18849,27.96,12590,13644,1054,-1054,1110916,,,,,,,,
El Salvador,"Rice, paddy",2000,1784,2698.93,25.78,57884,52531,5353,5353,28654609,,,,,,,,
Spain,Sorghum,2002,636,40727,17.51,37970,37970,0,0,0,,,,,,,,
Indonesia,"Rice, paddy",1993,2702,1597,27.04,43750,43750,0,0,0,,,,,,,,
Japan,"Rice, paddy",2002,1668,70262.54,13.42,65823,65823,0,0,0,,,,,,,,
South Africa,Maize,2013,495,26857,14.98,42466,42466,0,0,0,,,,,,,,
Germany,Maize,2000,700,35273.17,6.33,92119,92119,0,0,0,,,,,,,,
Brazil,Cassava,1993,1761,75658.33,18.69,120628,120628,0,0,0,,,,,,,,
Haiti,"Rice, paddy",1997,1440,16.35,27.74,22857,20000,2857,2857,8162449,,,,,,,,
Norway,Wheat,2006,1414,696.34,4.43,41634,46025,4391,-4391,19280881,,,,,,,,
Uruguay,Soybeans,1995,1300,2413.02,16.66,18235,19886,1651,-1651,2725801,,,,,,,,
Spain,Wheat,2006,636,39767,13.06,28755,28755,0,0,0,,,,,,,,
Azerbaijan,Potatoes,2010,447,333.85,13.85,144945,149950,5005,-5005,25050025,,,,,,,,
Tajikistan,Soybeans,2004,691,228.5,9.24,100,500,400,-400,160000,,,,,,,,
Peru,"Rice, paddy",1996,1738,3755,16.45,57198,62514,5316,-5316,28259856,,,,,,,,
Indonesia,Soybeans,2007,2702,1597,25.5,12908,12908,0,0,0,,,,,,,,
Belarus,Potatoes,1997,618,8306.31,5.98,99173,108971,9798,-9798,96000804,,,,,,,,
Canada,Wheat,1991,537,29477.5,8.13,22559,22559,0,0,0,,,,,,,,
Brazil,"Rice, paddy",1993,1761,75658.33,17.93,22912,22912,0,0,0,,,,,,,,
Brazil,Soybeans,2010,1761,342580,18.18,29475,29475,0,0,0,,,,,,,,
Uruguay,Sweet potatoes,2010,1300,14981.18,17.11,94156,94737,581,-581,337561,,,,,,,,
Indonesia,"Rice, paddy",1998,2702,1597,27.72,41974,41974,0,0,0,,,,,,,,
Denmark,Potatoes,2004,703,2899,9,397415,415861,18446,-18446,340254916,,,,,,,,
Australia,Sweet potatoes,1999,534,34200,17.55,275000,275000,0,0,0,,,,,,,,
Mexico,Sorghum,2009,758,61690.08,20.32,36131,36131,0,0,0,,,,,,,,
Madagascar,Maize,1993,1513,109.41,19.95,8972,18109,9137,-9137,83484769,,,,,,,,
Italy,Maize,1998,832,84117,7.77,93217,93217,0,0,0,,,,,,,,
Pakistan,Maize,2007,494,5935.96,27.69,34265,34265,0,0,0,,,,,,,,
Canada,Maize,2006,537,36572.75,9.83,84737,84737,0,0,0,,,,,,,,
Mexico,Sweet potatoes,2009,758,61690.08,23.23,190454,190454,0,0,0,,,,,,,,
India,Cassava,2011,1083,55540,25.36,364770,364770,0,0,0,,,,,,,,
Sweden,Potatoes,2004,624,1353,7.53,309147,306791,2356,2356,5550736,,,,,,,,
India,Cassava,2010,1083,40093.69,25.71,347555,347555,0,0,0,,,,,,,,
Spain,"Rice, paddy",2007,636,39286,17.24,71228,71228,0,0,0,,,,,,,,
India,Potatoes,1995,1083,61257,25.76,162720,162720,0,0,0,,,,,,,,
India,Wheat,2009,1083,28707.01,26.92,29071,29071,0,0,0,,,,,,,,
Honduras,Maize,1997,1976,6980,25.03,15591,16180,589,-589,346921,,,,,,,,
Ecuador,Sorghum,1991,2274,2377,21.91,15289,11725,3564,3564,12702096,,,,,,,,
Brazil,Soybeans,1994,1761,84312.78,26.05,21632,21632,0,0,0,,,,,,,,
Pakistan,Sorghum,2002,494,10881.83,27.2,5989,5989,0,0,0,,,,,,,,
Brazil,Yams,2001,1761,151523,27.08,90385,90385,0,0,0,,,,,,,,
Japan,Potatoes,2001,1668,78735.45,13.13,318172,323558,5386,-5386,29008996,,,,,,,,
Pakistan,Sorghum,2005,494,7914.31,18.75,5998,6156,158,-158,24964,,,,,,,,
Turkey,"Rice, paddy",2008,593,37640.2,11.33,75716,75716,0,0,0,,,,,,,,
Mexico,Maize,2007,758,64501.28,22.18,32063,32063,0,0,0,,,,,,,,
India,Maize,1999,1083,46195,25.5,17922,17922,0,0,0,,,,,,,,
Austria,Soybeans,1994,1110,3619,9.89,22505,21139,1366,1366,1865956,,,,,,,,
Brazil,Sweet potatoes,1998,1761,118930.56,20.71,103928,103928,0,0,0,,,,,,,,
Guatemala,Sorghum,2006,1996,15951.27,19.88,13536,17498,3962,-3962,15697444,,,,,,,,
Pakistan,Soybeans,1995,494,7681,18.68,12021,12000,21,21,441,,,,,,,,
Algeria,Sorghum,1997,89,401.22,17.84,40000,33900,6100,6100,37210000,,,,,,,,
